"Chairs","Tables","Material","Man-Hours","Profit"
"0","20","400","300","1600"
"1","19","395","295","1535"
"2","18","390","290","1480"
"3","17","385","285","1425"
"4","16","380","280","1370"
"5","15","375","375","1305"
"6","14","370","270","1250"
"7","13","365","370","1195"
"8","12","360","275","1140"
"9","11","355","265","1085"
"10","10","350","250","1050"
"11","9","345","265","1005"
"12","8","340","270","960"
"13","7","335","265","915"
"14","6","330","270","870"
"15","5","325","300","825"
"16","4","320","270","780"
"17","3","315","255","735"
"18","2","310","260","690"
"19","1","305","275","645"
"20","0","400","300","1600"
"0","0","0","0","0"
"1","19","395","295","1535"
"2","18","390","290","1480"
"3","17","385","285","1425"
"4","16","380","280","1370"
"5","16","375","300","1350"
"6","16","370","295","1350"
"7","15","365","295","1275"
"8","14","360","290","1220"
"9","13","355","285","1165"
"10","12","350","275","1110"
"11","11","345","270","1055"
"12","10","340","265","1000"
"13","9","335","260","945"
"14","8","330","255","890"
"15","7","325","250","835"
"16","6","320","245","780"
"17","5","315","240","725"
"18","4","310","235","670"
"19","3","305","230","615"
"20","2","400","300","1600"
"0","1","0","0","0"
"1","18","395","295","1480"
"2","17","390","290","1425"
"3","16","385","285","1370"
"4","15","380","280","1315"
"5","14","375","275","1260"
"6","13","370","270","1205"
"7","12","365","265","1150"
"8","11","360","260","1095"
"9","10","355","255","1040"
"10","9","350","250","985"
"11","8","345","245","930"
"12","7","340","240","875"
"13","6","335","235","820"
"14","5","330","230","765"
"15","4","325","225","710"
"16","3","320","220","655"
"17","2","315","215","600"
"18","1","310","210","545"
"19","0","305","205","490"
