Roll_Width;Client_ID;Order_Width;Order_Length;Quantity
100;1;40;100;10
100;2;30;200;15
100;3;50;150;5
100;4;60;80;20
100;5;10;300;8
100;6;20;250;12
100;7;30;175;7
100;8;70;120;9
100;9;40;90;6
100;10;50;160;5
100;11;40;180;10
100;12;80;100;15
100;13;30;220;6
100;14;50;140;4
100;15;20;200;3
100;16;60;75;8
100;17;10;300;2
100;18;40;110;12
100;19;30;125;19
100;20;70;130;1
100;21;20;150;14
100;22;50;175;3
100;23;60;90;7
100;24;40;200;11
100;25;30;160;8
100;26;10;280;2
100;27;50;100;9
100;28;20;180;8
100;29;70;110;11
100;30;40;95;10
100;31;30;150;6
100;32;20;230;6
100;33;60;135;3
100;34;50;125;5
100;35;10;300;2
100;36;30;190;5
100;37;40;250;4
100;38;20;145;9
100;39;70;160;8
100;40;50;175;3
100;41;40;100;12
100;42;30;130;11
100;43;20;185;7
100;44;60;145;6
100;45;80;80;8
100;46;50;190;7
100;47;40;150;5
100;48;20;170;9
100;49;30;100;3
100;50;60;120;11
100;51;10;250;5
100;52;40;110;10
100;53;20;135;8
100;54;30;180;4
100;55;50;220;2
100;56;60;90;6
100;57;40;125;11
100;58;30;150;7
100;59;10;300;1
100;60;20;195;5
100;61;70;175;2
100;62;40;90;9
100;63;30;160;8
100;64;60;140;4
100;65;10;210;3
100;66;20;220;7
100;67;50;130;8
100;68;40;95;10
100;69;70;105;5
100;70;80;150;6
100;71;30;125;3
100;72;60;100;9
100;73;20;170;11
100;74;40;190;8
100;75;50;160;5
100;76;10;260;2
100;77;30;175;9
100;78;20;80;7
100;79;40;130;8
100;80;50;150;3
100;81;70;120;1
100;82;60;140;4
100;83;10;300;2
100;84;40;190;5
100;85;30;150;6
100;86;20;180;8
100;87;70;130;2
100;88;50;210;1
100;89;30;200;10
100;90;40;230;3
100;91;10;150;5
100;92;20;250;3
100;93;30;175;4
100;94;60;120;8
100;95;50;140;11
100;96;70;100;9
100;97;40;160;7
100;98;20;180;2
100;99;10;300;1
100;100;30;160;5
