City 1;City 2;Cost
City A;City B;5
City A;City C;10
City A;City D;4
City A;City E;7
City A;City F;6
City A;City G;9
City B;City C;3
City B;City D;8
City B;City E;5
City B;City F;12
City B;City G;2
City C;City D;7
City C;City E;10
City C;City F;4
City C;City G;11
City D;City E;6
City D;City F;3
City D;City G;12
City E;City F;8
City E;City G;5
City F;City G;9
City A;City H;14
City B;City H;8
City C;City H;6
City D;City H;11
City E;City H;9
City F;City H;5
City G;City H;13
City A;City I;12
City B;City I;11
City C;City I;7
City D;City I;4
City E;City I;3
City F;City I;10
City G;City I;8
City H;City I;5
City A;City J;9
City B;City J;15
City C;City J;6
City D;City J;3
City E;City J;12
City F;City J;4
