Worker;Task;Cost
Worker 1;Task 1;15
Worker 1;Task 2;20
Worker 1;Task 3;25
Worker 1;Task 4;30
Worker 1;Task 5;18
Worker 1;Task 6;22
Worker 1;Task 7;27
Worker 1;Task 8;21
Worker 1;Task 9;24
Worker 1;Task 10;19
Worker 2;Task 1;14
Worker 2;Task 2;22
Worker 2;Task 3;20
Worker 2;Task 4;25
Worker 2;Task 5;30
Worker 2;Task 6;21
Worker 2;Task 7;23
Worker 2;Task 8;19
Worker 2;Task 9;26
Worker 2;Task 10;17
Worker 3;Task 1;12
Worker 3;Task 2;18
Worker 3;Task 3;21
Worker 3;Task 4;27
Worker 3;Task 5;23
Worker 3;Task 6;20
Worker 3;Task 7;29
Worker 3;Task 8;26
Worker 3;Task 9;24
Worker 3;Task 10;19
Worker 4;Task 1;17
Worker 4;Task 2;15
Worker 4;Task 3;20
Worker 4;Task 4;22
Worker 4;Task 5;19
Worker 4;Task 6;27
Worker 4;Task 7;30
Worker 4;Task 8;28
Worker 4;Task 9;25
Worker 4;Task 10;23
Worker 5;Task 1;29
Worker 5;Task 2;24
Worker 5;Task 3;22
Worker 5;Task 4;21
Worker 5;Task 5;19
Worker 5;Task 6;20
Worker 5;Task 7;16
Worker 5;Task 8;15
Worker 5;Task 9;14
Worker 5;Task 10;18
Worker 6;Task 1;24
Worker 6;Task 2;27
Worker 6;Task 3;25
Worker 6;Task 4;30
Worker 6;Task 5;23
Worker 6;Task 6;22
Worker 6;Task 7;21
Worker 6;Task 8;18
Worker 6;Task 9;19
Worker 6;Task 10;20
Worker 7;Task 1;13
Worker 7;Task 2;17
Worker 7;Task 3;24
Worker 7;Task 4;29
Worker 7;Task 5;22
Worker 7;Task 6;20
Worker 7;Task 7;19
Worker 7;Task 8;18
Worker 7;Task 9;21
Worker 7;Task 10;23
Worker 8;Task 1;16
Worker 8;Task 2;20
Worker 8;Task 3;25
Worker 8;Task 4;30
Worker 8;Task 5;28
Worker 8;Task 6;23
Worker 8;Task 7;24
Worker 8;Task 8;19
Worker 8;Task 9;27
Worker 8;Task 10;21
Worker 9;Task 1;22
Worker 9;Task 2;28
Worker 9;Task 3;26
Worker 9;Task 4;21
Worker 9;Task 5;18
Worker 9;Task 6;25
Worker 9;Task 7;29
Worker 9;Task 8;30
Worker 9;Task 9;24
Worker 9;Task 10;19
Worker 10;Task 1;11
Worker 10;Task 2;15
Worker 10;Task 3;12
Worker 10;Task 4;14
Worker 10;Task 5;17
Worker 10;Task 6;22
Worker 10;Task 7;20
Worker 10;Task 8;19
Worker 10;Task 9;18
Worker 10;Task 10;24
