Weapon;Target;Effectiveness
Weapon 1;Target 1;85
Weapon 1;Target 2;70
Weapon 1;Target 3;90
Weapon 1;Target 4;50
Weapon 1;Target 5;60
Weapon 2;Target 1;40
Weapon 2;Target 2;95
Weapon 2;Target 3;80
Weapon 2;Target 4;55
Weapon 2;Target 5;25
Weapon 3;Target 1;75
Weapon 3;Target 2;30
Weapon 3;Target 3;60
Weapon 3;Target 4;85
Weapon 3;Target 5;90
Weapon 4;Target 1;20
Weapon 4;Target 2;50
Weapon 4;Target 3;55
Weapon 4;Target 4;90
Weapon 4;Target 5;95
Weapon 5;Target 1;100
Weapon 5;Target 2;75
Weapon 5;Target 3;80
Weapon 5;Target 4;60
Weapon 5;Target 5;20
Weapon 1;Target 1;82
Weapon 1;Target 2;68
Weapon 1;Target 3;91
Weapon 1;Target 4;52
Weapon 1;Target 5;63
Weapon 2;Target 1;45
Weapon 2;Target 2;90
Weapon 2;Target 3;88
Weapon 2;Target 4;53
Weapon 2;Target 5;30
Weapon 3;Target 1;78
Weapon 3;Target 2;33
Weapon 3;Target 3;62
Weapon 3;Target 4;83
Weapon 3;Target 5;92
Weapon 4;Target 1;22
Weapon 4;Target 2;52
Weapon 4;Target 3;56
Weapon 4;Target 4;91
Weapon 4;Target 5;94
Weapon 5;Target 1;98
Weapon 5;Target 2;73
Weapon 5;Target 3;79
Weapon 5;Target 4;64
Weapon 5;Target 5;21
Weapon 1;Target 1;81
Weapon 1;Target 2;65
Weapon 1;Target 3;89
Weapon 1;Target 4;51
Weapon 1;Target 5;61
Weapon 2;Target 1;42
Weapon 2;Target 2;93
Weapon 2;Target 3;84
Weapon 2;Target 4;57
Weapon 2;Target 5;28
Weapon 3;Target 1;76
Weapon 3;Target 2;37
Weapon 3;Target 3;63
Weapon 3;Target 4;86
Weapon 3;Target 5;88
Weapon 4;Target 1;18
Weapon 4;Target 2;48
Weapon 4;Target 3;58
Weapon 4;Target 4;92
Weapon 4;Target 5;93
Weapon 5;Target 1;99
Weapon 5;Target 2;72
Weapon 5;Target 3;77
Weapon 5;Target 4;62
Weapon 5;Target 5;19
