Item ID;Cost;Weight
1;60;10
2;100;20
3;120;30
4;80;15
5;30;5
6;90;25
7;200;50
8;150;45
9;50;8
10;70;12
11;120;18
12;140;28
13;90;22
14;30;6
15;60;11
16;110;20
17;130;42
18;20;3
19;40;7
20;100;30
21;80;5
22;180;33
23;120;17
24;60;14
25;75;9
26;50;11
27;95;20
28;170;47
29;85;19
30;210;55
31;190;40
32;130;22
33;140;29
34;110;18
35;75;15
36;10;1
37;45;4
38;65;23
39;55;12
40;180;39
41;40;6
42;95;32
43;70;8
44;150;41
45;110;53
46;90;16
47;130;34
48;75;10
49;60;8
50;220;60
51;10;2
52;85;5
53;72;19
54;95;28
55;80;24
56;130;35
57;140;30
58;60;18
59;50;7
60;20;3
61;190;44
62;40;9
63;30;7
64;100;32
65;75;5
66;60;11
67;10;1
68;80;10
69;150;36
70;20;4
71;40;8
72;60;3
73;210;57
74;120;23
75;130;31
76;90;14
77;75;16
78;50;11
79;185;43
80;160;38
81;140;21
82;55;9
83;30;4
84;110;22
85;190;45
86;100;30
87;80;15
88;85;12
89;70;26
90;150;39
91;75;10
92;90;18
93;150;25
94;120;28
95;30;5
96;200;50
97;40;6
98;190;44
99;130;38
100;60;12
