From;To;Distance;Time
A;B;5;10
A;C;10;15
A;D;3;5
B;C;2;3
B;D;4;8
B;E;8;12
C;D;6;9
C;E;1;2
D;E;7;10
A;F;9;14
B;F;8;12
C;F;3;6
D;F;4;7
E;F;2;3
A;G;12;20
B;G;15;25
C;G;10;18
D;G;8;14
E;G;6;11
F;G;4;5
A;H;11;19
B;H;9;13
C;H;7;10
D;H;5;8
E;H;3;4
F;H;2;3
A;I;14;22
B;I;10;15
C;I;12;17
D;I;9;13
E;I;7;10
F;I;6;8
G;I;5;6
A;J;6;8
B;J;8;12
C;J;10;14
D;J;3;5
E;J;9;10
F;J;5;7
G;J;7;9
H;J;4;6
A;K;13;21
B;K;15;24
C;K;11;18
D;K;10;15
E;K;5;8
F;K;6;9
G;K;4;5
H;K;12;20
I;K;2;4
A;L;5;9
B;L;7;14
C;L;9;16
D;L;6;10
E;L;8;12
F;L;5;8
G;L;12;21
H;L;14;25
I;L;10;18
J;L;3;5
A;M;8;12
B;M;10;15
C;M;5;8
D;M;12;20
E;M;6;11
F;M;3;4
G;M;2;3
H;M;7;10
I;M;9;14
J;M;11;18
K;M;4;6
A;N;10;15
B;N;8;12
C;N;6;9
D;N;5;8
E;N;12;20
F;N;3;5
G;N;11;18
H;N;2;3
I;N;9;13
J;N;4;7
K;N;6;8
L;N;5;9
A;O;3;6
B;O;4;7
C;O;12;20
D;O;7;10
E;O;9;14
F;O;11;16
G;O;5;8
H;O;6;9
I;O;2;3
J;O;1;2
K;O;10;15
L;O;8;12
M;O;14;20
;;;
;;;
;;;
;;;
;;;
;;;
